Time, Temp (C), Humidity (%)
2022-01-28 22:33:45.132998, 18.6, 60.0
2022-01-28 22:33:50.219383, 18.6, 60.0
2022-01-28 22:34:00.383102, 18.5, 60.0
2022-01-28 22:34:15.634826, 18.6, 60.0
2022-01-28 22:34:20.721362, 18.5, 60.0
2022-01-28 22:34:25.802897, 18.6, 60.0
2022-01-28 22:34:30.888765, 18.6, 60.0
2022-01-28 22:34:35.975059, 18.6, 60.0
2022-01-28 22:34:41.062892, 18.5, 60.0
2022-01-28 22:34:46.148368, 18.5, 60.0
2022-01-28 22:34:51.234663, 18.6, 60.0
2022-01-28 22:35:01.403861, 18.6, 60.0
2022-01-28 22:35:11.569139, 18.6, 60.0
2022-01-28 22:35:16.655522, 18.6, 60.0
2022-01-28 22:35:21.741667, 18.6, 60.0
2022-01-28 22:35:26.827504, 18.6, 60.0
2022-01-28 22:35:31.913899, 18.6, 60.0
2022-01-28 22:35:37.000646, 18.6, 60.0
2022-01-28 22:35:42.086952, 18.6, 60.0
2022-01-28 22:35:47.173379, 18.6, 61.0
2022-01-28 22:35:57.342624, 18.6, 61.0
2022-01-28 22:36:07.512235, 18.6, 61.0
2022-01-28 22:36:17.681724, 18.6, 61.0
2022-01-28 22:36:22.768182, 18.6, 61.0
2022-01-28 22:36:27.854685, 18.7, 61.0
2022-01-28 22:36:32.941127, 18.7, 61.0
2022-01-28 22:36:38.027359, 18.7, 61.0
2022-01-28 22:36:43.113898, 18.7, 61.0
2022-01-28 22:36:53.284042, 18.7, 61.0
2022-01-28 22:37:03.453864, 18.7, 61.0
2022-01-28 22:37:08.539678, 18.7, 61.0
2022-01-28 22:37:13.626289, 18.7, 61.0
2022-01-28 22:37:18.712850, 18.7, 61.0
2022-01-28 22:37:28.881358, 18.7, 61.0
2022-01-28 22:37:33.963314, 18.7, 61.0
2022-01-28 22:37:44.133751, 18.7, 61.0
2022-01-28 22:37:54.302866, 18.7, 61.0
2022-01-28 22:37:59.389452, 18.7, 61.0
2022-01-28 22:38:04.475643, 18.7, 61.0
2022-01-28 22:38:09.562196, 18.7, 61.0
2022-01-28 22:38:24.814654, 18.7, 61.0
2022-01-28 22:38:29.899529, 18.7, 61.0
2022-01-28 22:38:34.984188, 18.7, 61.0
2022-01-28 22:38:45.153758, 18.7, 61.0
2022-01-28 22:38:50.240243, 18.7, 61.0
2022-01-28 22:38:55.326745, 18.6, 61.0
2022-01-28 22:39:00.413179, 18.6, 61.0
2022-01-28 22:39:05.499301, 18.6, 61.0
2022-01-28 22:39:10.583345, 18.6, 61.0
2022-01-28 22:39:15.670080, 18.6, 61.0
2022-01-28 22:39:20.756561, 18.6, 61.0
2022-01-28 22:39:25.842896, 18.6, 61.0
2022-01-28 22:39:30.928699, 18.6, 61.0
2022-01-28 22:39:36.014675, 18.6, 61.0
2022-01-28 22:39:41.101225, 18.6, 61.0
2022-01-28 22:39:46.187963, 18.6, 61.0
2022-01-28 22:39:56.353481, 18.6, 61.0
2022-01-28 22:40:06.522891, 18.6, 61.0
2022-01-28 22:40:11.609743, 18.6, 61.0
2022-01-28 22:40:16.695873, 18.6, 61.0
2022-01-28 22:40:21.781866, 18.6, 61.0
2022-01-28 22:40:26.868241, 18.6, 62.0
2022-01-28 22:40:31.954394, 18.6, 62.0
2022-01-28 22:40:37.040196, 18.6, 62.0
2022-01-28 22:40:42.126165, 18.5, 62.0
2022-01-28 22:40:47.212475, 18.6, 62.0
2022-01-28 22:40:57.381686, 18.5, 62.0
2022-01-28 22:41:02.468236, 18.5, 62.0
